NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering IC,Application ID,Award Notice Date,Opportunity Number,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,Primary DUNS,Primary UEI,DUNS Number,UEI,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,Post Award Action Type,CFDA Code,Funding Mechanism,Fiscal Year,Total Cost,Total Cost(Sub Projects),Funding IC(s),Direct Cost IC,Indirect Cost IC,NIH COVID-19 Response,Total Cost IC
Biotechnology; Cooley's Anemia; Genetics; Hematology; Rare Diseases; Sickle Cell Disease,3&apos; Untranslated Regions;Advisory Committees;Affect;Binding;Binding Sites;Cells;Commit;Cultured Cells;Data;Development Plans;Disease;Elements;Engineering;Environment;Erythroid;Erythroid Cells;Foundations;Funding;Genes;Globin;Goals;Hela Cells;Hematological Disease;Hematology;Hemoglobin;Hemoglobinopathies;Hereditary Disease;Higher Order Chromatin Structure;Human;Hybrids;Inherited;Investigation;Journals;K-562;K562 Cells;Knowledge;Length;Maps;Medicine;Mentors;Messenger RNA;Modification;Molecular;Morbidity - disease rate;Pediatric Hospitals;Pennsylvania;Phenotype;Philadelphia;Pilot Projects;Poly(A) Tail;Population;Proteins;Public Health;Research;Research Personnel;Sickle Cell Anemia;Structure;System;Techniques;Testing;Thalassemia;Therapeutic;Training;Trans-Activators;Transgenes;Translating;Translations;United States;Universities;Untranslated Regions;Variant;Work;abstracting;base;beta Globin;beta Thalassemia;career;career development;clinical application;design;experience;functional genomics;genetic variant;in vivo;insight;mRNA Stability;mortality;novel;novel strategies;novel therapeutic intervention;public health relevance;skills;stem;success;therapeutic protein;therapeutic transgene,Structure and Function of Stability-Enhanced Beta-Globin mRNAs, Hemoglobins abnormalities cause some of the most prevalent inherited genetic disorders worldwide. Sickle cell disease and beta-thalassemia are two such serious disorders that continue to cause significant morbidity and mortality in the United States and globally. Our proposed research to investigate and develop new treatment options for the affected population is directly relevant to public health. (End of Abstract)      ,NHLBI,8657093,4/2/2014,RFA-HL-10-012,5K01HL103186-05,5,K01,HL,103186,5,,"WERNER, ELLEN ",8/1/2010,1/31/2016,ZHL1-CSR-H(M1), ,9546564,"ABDULMALIK, OSHEIZA Y",Not Applicable,3,Unavailable,73757627,G7MQPLSUX1L4,73757627,G7MQPLSUX1L4,US,39.946632,-75.196604,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PA,Independent Hospitals,191462305,UNITED STATES,N,5/1/2014,1/31/2016, ,837,Other Research-Related,2014,139320, ,NHLBI,129000,10320, ,139320
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Human Genome; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,Adult;Binding;Binding Sites;Bioinformatics;CD34 gene;Cell Line;Cells;ChIP-seq;Chromatin;Clinical;Clinical Trials;Cloning;DNA;Data;Deoxyribonuclease I;Erythroblasts;Erythroid Cells;Generations;Genes;Genomics;Hemoglobinopathies;High-Throughput Nucleotide Sequencing;Human;Human Genome;Individual;Informatics;Insulator Elements;Libraries;Ligation;Maps;Massive Parallel Sequencing;Methods;Patients;Peripheral Blood Mononuclear Cell;Plasmids;Property;Proteins;Research Personnel;Sampling;Services;Site;Stem cells;Technology;Thalassemia;USF1 gene;candidate identification;epigenome;fetal;gene therapy;genome-wide;induced pluripotent stem cell;screening;vector,Genomics,n/a,NHLBI,8651524,3/25/2014, ,5P01HL053750-20,5,P01,HL,53750,20,,, ,3/31/2017,"Heart, Lung, and Blood Program Project Study Section[HLBP]",8624,7961471,"STAMATOYANNOPOULOS, JOHN A",Not Applicable,7,Unavailable,605799469,HD1WMN6945W6,605799469,HD1WMN6945W6,US,47.660307,-122.315168,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,Domestic Higher Education,981959472,UNITED STATES,N,4/1/2014,3/31/2015, , ,Non-SBIR/STTR,2014, ,492556, ,348702,143854, , 
Biotechnology; Clinical Research; Clinical Trials; Cooley's Anemia; Gene Therapy; Gene Therapy Clinical Trials; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,AMD3100;Blood;Bone Marrow;CD34 gene;CSF3 gene;Cell Line;Cells;Clinical;Clinical Trials;Clonality;Collaborations;Collection;Data;Development;Ensure;Freezing;Genes;Globin;Hela Cells;Hematopoietic stem cells;Hemoglobinopathies;Infection;Infusion procedures;Lentivirus Vector;Memorial Sloan-Kettering Cancer Center;Molecular;Patient Monitoring;Patients;Procedures;Process;Production;Protocols documentation;Research Personnel;Sampling;Site;Southern Blotting;Specimen;Standardization;Stem cells;Subfamily lentivirinae;System;Testing;Thalassemia;Time;Training;Validation;Viral;beta Globin;biobank;cell bank;cellular transduction;clinical research site;cost effective;gene therapy;transmission process;validation studies;vector,Gene Therapy,n/a,NHLBI,8651523,3/25/2014, ,5P01HL053750-20,5,P01,HL,53750,20,,, ,3/31/2017,"Heart, Lung, and Blood Program Project Study Section[HLBP]",8237,8507921,"RIVIERI, ISABELLE ",Not Applicable,7,Unavailable,605799469,HD1WMN6945W6,605799469,HD1WMN6945W6,US,47.660307,-122.315168,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,Domestic Higher Education,981959472,UNITED STATES,N,4/1/2014,3/31/2015, , ,Non-SBIR/STTR,2014, ,613399, ,369502,243897, , 
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Adult;Autologous Transplantation;Biological Assay;CD34 gene;Cell Line;Cells;Clinical;Coculture Techniques;DNA Methylation;Dependovirus;Derivation procedure;Development;Disease;Engraftment;Epigenetic Process;Erythroid;Erythroid Cells;Excision;Fibroblasts;Funding;Gene Delivery;Gene Targeting;Genes;Genetic Recombination;Globin;Grant;Hematopoietic;Hematopoietic stem cells;Hemoglobin F Disease;Hemoglobinopathies;Hereditary Disease;Human;Hypersensitivity;Immunodeficient Mouse;In Vitro;Integrase;Kanamycin Kinase;Lentivirus Vector;Long Terminal Repeats;Mediating;Mesenchymal;Methods;Monitor;Mus;Mutation;Patients;Phenotype;Pluripotent Stem Cells;Point Mutation;Production;Proteins;Recovery;Research;Retroviral Vector;Site;Source;Spumavirus;Stem cells;Stromal Cells;Subfamily lentivirinae;Surface;System;Testing;Thalassemia;Therapeutic;Thymidine Kinase;Transgenes;Transplantation;adeno-associated viral vector;arm;base;beta Globin;cell type;design;disease-causing mutation;erythroid differentiation;fetal;fusion gene;gene correction;gene therapy;genome-wide;genotoxicity;histone modification;homologous recombination;human embryonic stem cell;improved;induced pluripotent stem cell;mutant;pluripotency;recombinase;research study;small hairpin RNA;vector,Derivation and Correction of Thalassemic Pluripotent Stem Cells,n/a,NHLBI,8651520,3/25/2014, ,5P01HL053750-20,5,P01,HL,53750,20,,, ,3/31/2017,"Heart, Lung, and Blood Program Project Study Section[HLBP]",8233,1885915,"RUSSELL, DAVID W",Not Applicable,7,Unavailable,605799469,HD1WMN6945W6,605799469,HD1WMN6945W6,US,47.660307,-122.315168,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,Domestic Higher Education,981959472,UNITED STATES,N,4/1/2014,3/31/2015, , ,Non-SBIR/STTR,2014, ,456397, ,323103,133294, , 
Biotechnology; Clinical Research; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases,Acute Erythroblastic Leukemia;Address;Affect;Alleles;Alternative Splicing;Animal Model;Ankyrins;Beta Cell;Bypass;Cells;Clinic;Clinical Trials;Code;Data;Disease;Effectiveness;Elements;Erythroid Cells;Erythroid Progenitor Cells;Fetal Hemoglobin;Gene Mutation;Gene Transfer;Genes;Genetic;Genetic Transcription;Genetic Translation;Genomics;Genotype;Globin;Goals;Hemoglobin concentration result;Hereditary Disease;Human;Individual;Introns;Knockout Mice;Knowledge;Lead;Lentivirus Vector;Life;Locus Control Region;Mediating;Messenger RNA;Modality;Modeling;Modification;Molecular;Mus;Mutate;Mutation;Mutation Spectra;Nonsense Codon;Outcome;Parents;Patients;Phenotype;Polyribosomes;Production;Protein Biosynthesis;Proteins;RNA Decay;RNA Splicing;RNA chemical synthesis;Research;Role;Small Nuclear RNA;Subfamily lentivirinae;Testing;Transcript;Transgenic Organisms;Translating;Translations;Viral;alpha Globin;base;beta Globin;beta Thalassemia;cellular transduction;disease phenotype;effective therapy;expression vector;gene therapy;gene transfer vector;improved;lentiviral-mediated;mRNA Decay;mRNA Stability;mutant;novel;promoter;public health relevance;small hairpin RNA;success;therapeutic effectiveness;vector,The influence of genotype on the outcome of gene transfer in beta-thalassemia,Project Narrative It is well established that beta-thalassemia is associated with the human beta-globin gene and that certainmutations in this gene lead to the disease phenotype. There are over 200 known disease-associated mutationsin the beta-globin gene. Through various molecular mechanisms (e.g. premature stop codons) thesemutations affect the protein product yielding the disease phenotype. One potential approach for the treatmentof beta-thalassemia is the introduction of non-mutant mRNAs through gene therapy (lentivirus). Promisingresults in animal models have shown that it is possible to rescue beta-globin knock-out mice using theseapproaches. However when this approach is translated to the clinic only a certain subset of the patientsrespond to the treatment. We hypothesize that it is the presence of long-lived mutant mRNAs thatcompete with the viral mRNA for the translational machinery that reduces the effectiveness of thetherapeutic approach. With this model based on the genotype and analysis of the mRNA stability we aim topredict the potential success of gene therapy given a specific mutation.,NHLBI,8644131,3/15/2014,PA-07-070,5R01HL102449-05,5,R01,HL,102449,5,,"QASBA, PANKAJ ",4/5/2010,3/31/2015,Erythrocyte and Leukocyte Biology Study Section[ELB], ,7368185,"RIVELLA, STEFANO ",Not Applicable,12,PEDIATRICS,60217502,YNT8TCJH8FQ8,60217502,YNT8TCJH8FQ8,US,40.7607,-73.9603,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,SCHOOLS OF MEDICINE,100654805,UNITED STATES,N,4/1/2014,3/31/2015, ,839,Non-SBIR/STTR,2014,409910, ,NHLBI,242550,167360, ,409910
Clinical Research; Cooley's Anemia; Hematology; Rare Diseases,Address;Affect;Anemia;Apoptosis;Award;Binding;Blood Circulation;Bone Marrow;Cell Survival;Cell physiology;Cells;Clinical;Cytosol;Data;Deposition;Development;Disease;Equilibrium;Erythrocytes;Erythroid;Erythroid Cells;Erythropoiesis;Erythropoietin;Evaluation;Extramedullary;Foundations;Functional disorder;Generations;Genetic Transcription;Globin;Goals;Hematopoietic;Heme;Heme Iron;Hemoglobin;Human;Human Cell Line;In Transferrin;In Vitro;Intestines;Iron;Iron Overload;K-562;Laboratories;Measures;Medicine;Mentors;Methods;Morbidity - disease rate;Mus;Patients;Phenotype;Physiology;Play;Principal Investigator;Production;Recycling;Regulation;Relative (related person);Reticulocytosis;Role;Sampling;Scientist;Serum;Spleen;Splenomegaly;Staging;Testing;Thalassemia;Therapeutic;Toxic effect;Training Programs;Transferrin;Transferrin Receptor;Transfusion;Translations;absorption;alpha Globin;alternative treatment;beta Globin;beta Thalassemia;career;chelation;diferric transferrin;disease phenotype;erythroid differentiation;heme 1;hepcidin;human TFRC protein;human disease;improved;in vivo;insight;iron metabolism;mortality;pre-clinical;programs;public health relevance;therapeutic development;uptake;zinc protoporphyrin,Understand and Improve Iron Distribution and Erythropoiesis in Beta-Thalassemia,PROJECT NARRATIVEOur laboratory previously demonstrated that using the main iron carrying molecule transferrin to treat micewith the disease beta-thalassemia reverses many of the abnormalities present in this disease. We willsystematically analyze the mechanisms underlying this effect in order to create a foundation for further testingof transferrin. The treatment for Beta-thalassemia is suboptimal but has remained unchanged for the past fiftyyears. Ultimately our goal is to provide an alternative treatment for these patients that could possibly beeffective for other diseases associated with anemia and iron overload.,NHLBI,8608586,1/9/2014,PA-10-059,5K08HL105682-04,5,K08,HL,105682,4,,"WERNER, ELLEN ",2/15/2011,1/31/2016,ZHL1-CSR-U(O1), ,9801005,"GINZBURG, YELENA ",Not Applicable,12,Unavailable,73271827,LXCNYLGGX6N7,73271827,LXCNYLGGX6N7,US,40.76519,-73.959922,1782801,NEW YORK BLOOD CENTER,NEW YORK,NY,Research Institutes,100656275,UNITED STATES,N,2/1/2014,1/31/2015, ,839,Other Research-Related,2014,132260, ,NHLBI,122500,9760, ,132260
Cancer; Cooley's Anemia; Hematology; Prevention; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation,Activation Analysis;Address;Adverse effects;Affect;Anemia;Animal Model;Antibodies;Antibody Formation;Antigen-Presenting Cells;Antigens;Antithymoglobulin;Aplastic Anemia;B-Cell Activation;Blood;Blood Platelets;Blood Transfusion;Bone Marrow;Bone Marrow Transplantation;CD4 Positive T Lymphocytes;CD8B1 gene;Cancer Patient;Cancerous;Cells;Chronic;Cooley&apos;s anemia;Data;Development;Diamond-Blackfan anemia;Disease;Dissection;Dose;Dysmyelopoietic Syndromes;Engineering;Environment;Family Physicians;Fanconi&apos;s Anemia;Fractionation;Genetic;Graft Rejection;Grant;Helper-Inducer T-Lymphocyte;Hematological Disease;Hematopoiesis;Hematopoietic;Hemoglobinopathies;Hemorrhage;Histocompatibility Antigens;Human;Immune;Immune response;Immunity;Immunization;Individual;International;Iron Overload;Lead;Leukocytes;MHC Class I Genes;Malignant Neoplasms;Minor;Minor Histocompatibility Antigens;Modeling;Morbidity - disease rate;Mus;Mutation;Neoplasms;Non-Malignant;Pancytopenia;Pathway interactions;Patients;Peptides;Physiological;Platelet Count measurement;Platelet Transfusion;Play;Procedures;Property;Proteins;Publishing;Regimen;Relative (related person);Reporting;Risk;Role;Sickle Cell Anemia;Source;Syndrome;System;T cell response;T-Lymphocyte;Techniques;Testing;Thalassemia;Therapeutic;Toxin;Transfusion;Transplantation;United States;base;beta Thalassemia;blood product;conditioning;design;experience;fludarabine;genetic variant;immunogenicity;in vivo;irradiation;killings;mortality;neoplastic cell;novel strategies;patient population;peripheral blood;prevent;research study;response;selective expression;transplant registry,Platelet Transfusion Induced Transplant Rejection Across mHA barriers., Bone marrow transplantation represents a cure for a wide variety of diseases including aplastic anemia sickle cell anemia beta-thalassemia Diamond Blackfan anemia Fanconi anemia myelodysplastic syndromes and others. However the cure rate using bone marrow transplant is decreased in patients who have received transfusions as part of their therapy which is required for most of the above diseases. This grant proposes to study the mechanisms by which transfusion of platelets induces rejection of bone marrow transplantation; understanding these mechanisms will provide a rational basis to increasing cure rates using bone marrow transplantation and thus stands to benefit all individuals with the listed and related diseases.       ,NHLBI,8601877,12/24/2013,PAR-10-034,5R01HL105613-05,5,R01,HL,105613,5,,"MONDORO, TRACI ",1/1/2011,12/31/2015,Special Emphasis Panel[ZRG1-VH-E(50)R], ,2098815,"ZIMRING, JAMES C.",Not Applicable,7,Unavailable,92881085,ZN56PFWUDQK7,92881085,ZN56PFWUDQK7,US,47.608454,-122.326344,4265501,BLOODWORKS,SEATTLE,WA,Research Institutes,981041239,UNITED STATES,N,1/1/2014,12/31/2014, ,839,Non-SBIR/STTR,2014,458150, ,NHLBI,245000,213150, ,458150
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation,Address;Anemia;Animal Experimentation;Animal Model;Animals;Autologous;B-Lymphocytes;Biological Models;Bone Marrow Transplantation;Busulfan;Capsid;Cells;Clinical;Clinical Trials;Clonal Hematopoietic Stem Cell;Collaborations;Development;Disease;Dose;Drug Formulations;Drug Kinetics;Engraftment;Enhancers;Erythroid;Gene Expression;Gene Transfer;Gene Transfer Techniques;Genes;Globin;HIV;Hematopoiesis;Hematopoietic stem cells;Hemoglobinopathies;Human;Individual;Infusion procedures;Insertional Mutagenesis;Intravenous;Laboratories;Lentivirus Vector;Macaca mulatta;Marrow;Measures;Methods;Modeling;Monitor;Mus;Myelogenous;Myelosuppression;Oral;Patients;Peripheral Blood Stem Cell;Phylogenetic Analysis;Plague;Plasmids;Population;Pre-Clinical Model;Preclinical Testing;Production;Reagent;Regulatory Element;Retroviral Vector;Risk;Rodent Model;SIV;Sickle Cell Anemia;Single-Gene Defect;Site;Source;Staging;Stem cells;T-Lymphocyte;Technology;Testing;Thalassemia;Transplantation;Viral Vector;Whole-Body Irradiation;absorption;base;beta Globin;beta Thalassemia;chemotherapeutic agent;clinical application;clinically relevant;conditioning;cross reactivity;dosage;gene transfer vector;genetic manipulation;genetically modified cells;in vivo;in vivo Model;irradiation;lentiviral-mediated;neutrophil;nonhuman primate;peripheral blood;pre-clinical;technique development;transgene expression;vector,A preclinical large animal model for globin gene transfer,n/a,NHLBI,8557972, , ,1ZIAHL006008-05,1,ZIA,HL,6008,5,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,1021276, ,NIDDK, , , ,451898
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation,Address;Anemia;Animal Experimentation;Animal Model;Animals;Autologous;B-Lymphocytes;Biological Models;Bone Marrow Transplantation;Busulfan;Capsid;Cells;Clinical;Clinical Trials;Clonal Hematopoietic Stem Cell;Collaborations;Development;Disease;Dose;Drug Formulations;Drug Kinetics;Engraftment;Enhancers;Erythroid;Gene Expression;Gene Transfer;Gene Transfer Techniques;Genes;Globin;HIV;Hematopoiesis;Hematopoietic stem cells;Hemoglobinopathies;Human;Individual;Infusion procedures;Insertional Mutagenesis;Intravenous;Laboratories;Lentivirus Vector;Macaca mulatta;Marrow;Measures;Methods;Modeling;Monitor;Mus;Myelogenous;Myelosuppression;Oral;Patients;Peripheral Blood Stem Cell;Phylogenetic Analysis;Plague;Plasmids;Population;Pre-Clinical Model;Preclinical Testing;Production;Reagent;Regulatory Element;Retroviral Vector;Risk;Rodent Model;SIV;Sickle Cell Anemia;Single-Gene Defect;Site;Source;Staging;Stem cells;T-Lymphocyte;Technology;Testing;Thalassemia;Transplantation;Viral Vector;Whole-Body Irradiation;absorption;base;beta Globin;beta Thalassemia;chemotherapeutic agent;clinical application;clinically relevant;conditioning;cross reactivity;dosage;gene transfer vector;genetic manipulation;genetically modified cells;in vivo;in vivo Model;irradiation;lentiviral-mediated;neutrophil;nonhuman primate;peripheral blood;pre-clinical;technique development;transgene expression;vector,A preclinical large animal model for globin gene transfer,n/a,NHLBI,8557972, , ,1ZIAHL006008-05,1,ZIA,HL,6008,5,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,1021276, ,NHLBI, , , ,569378
Cooley's Anemia; Genetics; Hematology; Pain Research; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Ablation;Acute;Adult;Age;Allogeneic Bone Marrow Transplantation;Allogenic;Allografting;Animal Model;Child;Chimerism;Clinical Protocols;Clinical Trials;Comorbidity;Cyclophosphamide;Cyclosporine;Disease;Disseminated Malignant Neoplasm;Dose;Engraftment;Family member;Frequencies;Gene Transfer;Genes;Genotype;Globin;Goals;Hematopoietic;Hematopoietic Stem Cell Mobilization;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobinopathies;Heterozygote;Human;Immune response;Immunosuppression;Individual;Institutional Review Boards;Investigation;Life Expectancy;Lung diseases;Marrow;Measures;Modeling;Mus;Neurocognitive;Non-Malignant;Organ;Organ failure;Pain quality;Patients;Peripheral Blood Stem Cell;Phenotype;Production;Protocols documentation;Quality of life;Regimen;Renal function;Reporting;Respiratory physiology;Safety;Severities;Siblings;Sickle Cell Anemia;Sickle Cell Trait;Signal Transduction;Sirolimus;Source;Stroke;Supportive care;Testing;Thalassemia;Time;Toxic effect;Transplantation;allograft rejection;base;chronic graft versus host disease;clinical application;conditioning;design;follow-up;graft vs host disease;heart function;hydroxyurea;improved;irradiation;meetings;mortality;peripheral blood;programs,Nonmyeloablative allogeneic PBSC in globin disorders,n/a,NHLBI,8557971, , ,1ZIAHL006007-05,1,ZIA,HL,6007,5,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,1322542, ,NIDDK, , , ,753164
Cooley's Anemia; Genetics; Hematology; Pain Research; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Ablation;Acute;Adult;Age;Allogeneic Bone Marrow Transplantation;Allogenic;Allografting;Animal Model;Child;Chimerism;Clinical Protocols;Clinical Trials;Comorbidity;Cyclophosphamide;Cyclosporine;Disease;Disseminated Malignant Neoplasm;Dose;Engraftment;Family member;Frequencies;Gene Transfer;Genes;Genotype;Globin;Goals;Hematopoietic;Hematopoietic Stem Cell Mobilization;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobinopathies;Heterozygote;Human;Immune response;Immunosuppression;Individual;Institutional Review Boards;Investigation;Life Expectancy;Lung diseases;Marrow;Measures;Modeling;Mus;Neurocognitive;Non-Malignant;Organ;Organ failure;Pain quality;Patients;Peripheral Blood Stem Cell;Phenotype;Production;Protocols documentation;Quality of life;Regimen;Renal function;Reporting;Respiratory physiology;Safety;Severities;Siblings;Sickle Cell Anemia;Sickle Cell Trait;Signal Transduction;Sirolimus;Source;Stroke;Supportive care;Testing;Thalassemia;Time;Toxic effect;Transplantation;allograft rejection;base;chronic graft versus host disease;clinical application;conditioning;design;follow-up;graft vs host disease;heart function;hydroxyurea;improved;irradiation;meetings;mortality;peripheral blood;programs,Nonmyeloablative allogeneic PBSC in globin disorders,n/a,NHLBI,8557971, , ,1ZIAHL006007-05,1,ZIA,HL,6007,5,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,1322542, ,NHLBI, , , ,569378
Cooley's Anemia; Genetics; Hematology; Rare Diseases; Sickle Cell Disease,Adult;Affect;Affinity;Binding;Binding Sites;Biological Assay;Blood;Bone Marrow Cells;Boxing;CD34 gene;Cell membrane;Cells;Characteristics;Chimeric Proteins;Clinical;Consensus;DNA Binding;DNA Binding Domain;DNA Sequencing Facility;DNA-Binding Proteins;Development;Disease;Erythrocytes;Erythroid Cells;Erythropoiesis;Fetal Hemoglobin;Fingers;GATA1 gene;Gene Expression;Genes;Genetic;Globin;Hemoglobin;Hemoglobin A;Hemoglobin A2;Hemoglobinopathies;Hemolytic Anemia;Hereditary Disease;Hour;Human Genetics;K-562;K562 Cells;Lead;Link;MEL Gene;Minor;Mutate;Mutation;Point Mutation;Population;Production;Promoter Regions;Public Health;RNA;Recombinants;Reporting;Series;Severity of illness;Sickle Cell;Sickle Cell Anemia;Sickle Hemoglobin;Site;Testing;Thalassemia;Therapeutic;Transactivation;Transcript;Transfection;Transfusion;Western Blotting;Zinc Fingers;base;cellular transduction;chromatin immunoprecipitation;erythroid Kruppel-like factor;flexibility;global health;hemoglobin A2&apos;;hydroxyurea;in vivo;mortality;polymerization;preclinical evaluation;prevent;promoter;protein expression;restoration;sickle deoxyhemoglobin;tool;transcription factor;vector,Recombinant erythroid Kruppel-like factor fused to GATA1 upregulates globin expr,n/a,NHLBI,8557970, , ,1ZIAHL006006-05,1,ZIA,HL,6006,5,,, , , , ,9694372,"RODGERS, GRIFFIN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,707429, ,NIDDK, , , ,376582
Cooley's Anemia; Genetics; Hematology; Rare Diseases; Sickle Cell Disease,Adult;Affect;Affinity;Binding;Binding Sites;Biological Assay;Blood;Bone Marrow Cells;Boxing;CD34 gene;Cell membrane;Cells;Characteristics;Chimeric Proteins;Clinical;Consensus;DNA Binding;DNA Binding Domain;DNA Sequencing Facility;DNA-Binding Proteins;Development;Disease;Erythrocytes;Erythroid Cells;Erythropoiesis;Fetal Hemoglobin;Fingers;GATA1 gene;Gene Expression;Genes;Genetic;Globin;Hemoglobin;Hemoglobin A;Hemoglobin A2;Hemoglobinopathies;Hemolytic Anemia;Hereditary Disease;Hour;Human Genetics;K-562;K562 Cells;Lead;Link;MEL Gene;Minor;Mutate;Mutation;Point Mutation;Population;Production;Promoter Regions;Public Health;RNA;Recombinants;Reporting;Series;Severity of illness;Sickle Cell;Sickle Cell Anemia;Sickle Hemoglobin;Site;Testing;Thalassemia;Therapeutic;Transactivation;Transcript;Transfection;Transfusion;Western Blotting;Zinc Fingers;base;cellular transduction;chromatin immunoprecipitation;erythroid Kruppel-like factor;flexibility;global health;hemoglobin A2&apos;;hydroxyurea;in vivo;mortality;polymerization;preclinical evaluation;prevent;promoter;protein expression;restoration;sickle deoxyhemoglobin;tool;transcription factor;vector,Recombinant erythroid Kruppel-like factor fused to GATA1 upregulates globin expr,n/a,NHLBI,8557970, , ,1ZIAHL006006-05,1,ZIA,HL,6006,5,,, , , , ,9694372,"RODGERS, GRIFFIN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2012,707429, ,NHLBI, , , ,330847
